crag,route_name,route_rating,bouldering_grade,route_difficulty
Lincoln Woods,Rump to Jump,5.12b,V8,0.5800827290421859
Lincoln Woods,Instant Karma,5.12a,V7,0.3876418586267729
Lincoln Woods,Hats Off,5.11d,V6,0.7899280267381319
Red Rocks,The Pearl,5.11a,V5,0.6651854878345475
Hueco Tanks,Flying Marcel,5.13a,V10,2.170170816779635
Smith Rocks,Churning in the wake,5.13a,V10,2.5324835000186985
Maple Canyon,49,5.12a,V7,-1.80437667826576
Rifle,Kingfisher,5.12d,V9,1.3047853859166234
Rifle,Hand me the Canteen Boy,5.12d,V9,2.225134156979824
Rifle,Pretty Hate Machine,5.12c,V8,0.84100922309782
Rifle,Handy Boy,5.12d,V9,1.3047860626602308
Rifle,Ricochet,5.12a,V7,-2.5083639973866707
Rifle,Defenseless Betty,5.12a,V7,-1.0025524593594637
Rifle,Right El Sapper,5.12b,V8,-0.5376731015285358
Rumney,Restless Native,5.12c,V8,1.2182869110682097
Mt Charleston,Short Dog,5.12a,V7,1.0771064117822804
Red River Gorge,Stain,5.12c,V8,0.3471729198691072
Red River Gorge,Buff The Wood,5.12b,V8,0.9489476096255771
Red River Gorge,Stay The Hand,5.12a,V7,-0.07429198581291947
Red River Gorge,Chainsaw Massacre,5.12a,V7,-0.22910074901241095
Red River Gorge,Tissue Tiger,5.12b,V8,0.5436189848225553
Red River Gorge,Gung Ho,5.12b,V8,-0.018848804503787543
Rumney,Technosurfing,5.12b,V8,0.7679747090946026
Rumney,Venus on a Halfshell,5.12c,V9,1.8552481933747635
Rumney,Social Outcast,5.12a,V7,0.379551171392671
Red Rocks,The Gift,5.12d,V9,1.582879980523327
Mt Charleston,Straight Outta Compton,5.12d,V9,1.2933289633275062
Lincoln Woods,Try again,5.11a,V5,-0.17490805646816887
Gunks,Gill Egg,5.10c,V4,0.37651348417862684
Gunks,Marrakesh Express,5.11d,V6,0.1946995455715021
Gunks,The Hop,5.12a,V7,1.5746562489796663
Gunks,Illustrious Buddha,5.12c,V9,2.3296178887197416
Maple Canyon,? Unknown,5.12a,V7,-1.6279824223835597
Bishop,Groundwater,5.11a,V5,-0.33879539218087795
Yosemite,Ament Arete,5.11d,V6,0.7882904160851713
Gunks,Gill Pinch Roof,5.10c,V4,-0.010602776417288786
Gunks,Goldstone Traverse,5.10c,V4,0.10247300168616297
RMNP,Nuthin but sunshine,5.13d,V13,2.555204107317342
RMNP,The Automator,5.13d,V13,2.661023187590929
RMNP,The Centaur,5.13c,V12,2.526942417242512
RMNP,European Human Being,5.13c,V12,2.3709562072352477
Hueco Tanks,Chbalanke,5.13b,V11,2.810779791335588
Hueco Tanks,Diaphanous sea,5.13c,V12,2.3747181990043975
Pawtuckaway,Blaow,5.13a,V10,2.1932655051033767
RMNP,The kind traverse,5.13b,V11,2.12117084045571
RMNP,Bush Pilot,5.13b,V11,2.5167717996955994
Rumney,Cold war,5.14a,V14,2.2480220419450427
Rifle,Present Tense,5.13d,V13,2.6865040899226833
American Fork,Underdog,5.13a,V10,1.9534733967223843
American Fork,Malvado,5.13a,V10,1.7680371172943237
American Fork,El diablo,5.12d,V9,1.6610452260276967
Red Rocks,Keep your Powder dry,5.12b,V8,-0.4611490005745782
American Fork,Reanimator,5.12d,V9,1.870261726140966
Gunks,Mentos,5.10c,V4,-0.5499747426216157
Clear Creek Canyon,Big Dog,5.12b,V8,-0.524985034928985
Rifle,Roadside Prophet,5.14a,V14,2.595903262269779
Rifle,Huge,5.13d,V13,3.147933446850619
Rifle,Dumpster BBQ,5.13c,V12,2.8700964106289075
Lincoln Woods,Who Needs Hueco,5.12c,V9,1.9458208205107168
Lincoln Woods,Loadies Zen,5.12a,V7,1.5511257139872576
Joshua Tree,JBMFP,5.11a,V5,1.7711551140259552
Yosemite,Battle of the Bulge,5.11d,V6,1.4594935006715073
Rifle,Zulu,5.14a,V14,3.025519504111172
Bishop,The Hulk,5.11d,V6,1.1370992341999622
Bishop,Rave,5.12a,V7,1.6122180866951548
Bishop,Serengeti,5.11a,V5,0.10557722773403691
Bishop,Action Figure,5.11d,V6,0.2963773450529235
Bishop,Iron Man Traverse,5.10c,V4,-0.2495142298770564
Bishop,Cow Skull,5.11a,V5,1.1033318110621984
Gunks,Tiger Style,5.12a,V7,1.499986808359498
Gunks,Mad Lion,5.12a,V7,1.503201728950257
Gunks,Black Boulder Problem,5.11a,V5,1.4476805595586917
Gunks,New Pair of Glasses,5.12a,V7,0.7072057797291134
Maple Canyon,Deliverance,5.12c,V9,0.07879655604702408
American Fork,If i only had a brain,5.12b,V8,0.580211622136579
American Fork,Naked Nebula,5.12a,V7,-0.5637407970426226
American Fork,Struggling Man,5.12a,V7,-0.1875319829106516
Maple Canyon,Zoaster Toaster,5.12a,V7,-2.0159581043898416
American Fork,The beckoning call,5.12a,V7,-1.2551389024835065
Turtle Wall,Tortuga,5.12a,V7,-1.3487585010186558
Red Rocks,Fear & Loathing,5.12a,V7,-0.11923014233808193
Red Rocks,Sweet Pain,5.11d,V6,-1.2476208229315324
Maple Canyon,Le Spunk,5.12a,V7,-1.8018577820401365
American Fork,Pig Pen,5.12a,V7,-0.20199264499006073
American Fork,Bringer of light,5.12a,V7,-0.2476345402440126
American Fork,Isotoner Moaner,5.12b,V8,0.13791163572222478
Maple Canyon,Lucky Boy,5.12b,V8,0.6851505941859705
Maple Canyon,Grip Tease,5.12a,V7,-0.11920504899829973
American Fork,Liquid oxygen,5.12a,V7,0.01152268678219801
American Fork,Pocket Debris,5.12a,V7,-0.6842519001874011
American Fork,Mandela,5.12a,V7,-0.5845207142605262
Wild Iris,Saddle Tramp,5.12a,V7,0.09102609726622223
Smith Rocks,Heinous Cling,5.12a,V7,0.2877038290030656
American Fork,Division,5.11d,V6,-0.5202088327500717
Big Cottonwood,Right Pile,5.11d,V6,0.4090750085508138
Maple Canyon,Wake and Bake,5.11d,V6,-1.7177404689865352
Maple Canyon,Excavation,5.11d,V6,-3.0050393110601177
Red Rocks,Yaak Crack,5.11d,V6,-1.3149347279978092
Turtle Wall,Farmers Market,5.11b,V7,-2.2858787196038466
American Fork,Litmus Test,5.11b,,-1.6534209109830722
American Fork,License to thrill,5.11b,,-0.6094115751498155
Red Rocks,Sister of Pain,5.11b,V6,-2.5800988097697175
Maple Canyon,Watermelon sugar,5.12a,V7,-1.6780725019417928
Maple Canyon,Solstice,5.11b,V6,-2.7984694551629357
Castle Rock,Hueco Wall,5.11d,V6,1.353852307943868
HP 40,Trick or Treat,5.11d,V6,2.0508864841737777
Rocktown,Turkish Resin,5.11d,V6,1.6187251334745953
Red River Gorge,Scissors,5.11d,V6,-1.7684396796159951
Foster falls,Ethnic Cleansing,5.12b,V8,0.602837761511077
Rocktown,Nose Candy,5.11d,V6,0.24747018056238795
Little Rock City,Slap Happy,5.11a,V5,0.25492672731821064
Red River Gorge,Recoil,5.11d,V6,-2.2247401751794698
Foster falls,La Pistola,5.12a,V7,-0.7008270432329002
Red River Gorge,Twinkie,5.12a,V7,-0.9645825595516556
Red River Gorge,Ro Shampo,5.12a,V7,-0.7365453233430427
Mt Potasi,Moment of Clarity,5.12a,V7,-0.08799733441262517
Red River Gorge,Sex Show,5.11d,V6,-1.8513066186131868
Rocktown,Police Brutality,5.11a,V5,-0.014316939577790776
HP 40,Popeye,5.11a,V5,0.971015336818113
Bishop,Enter the Dragon,5.13a,V10,2.53493986499387
Bishop,Pow Pow,5.12c,V8,1.79159858410043
Bishop,Rio's Crack,5.11d,V6,0.9588017419820465
Bishop,Fueled By Hate,5.11a,V5,0.7325644291023422
Hueco Tanks,Girls of Texas,5.11a,V5,-1.1496679311470324
Horsetooth,Talent Scout Roof,5.11d,V6,1.3291177634813167
Rifle,Beer Run,5.13a,V10,2.449830356452929
Rifle,The Beast,5.13a,V10,2.7241647140348144
Jailhouse,Iron Junkie,5.12c,V9,0.6102304374701506
Smith Rocks,Aggro Monkey,5.13b,V11,2.196414617756038
Smith Rocks,The Quickening,5.12c,V9,1.0185862491241082
Smith Rocks,Kings of Rap,5.12d,V9,1.679075148338382
Sinks Canyon,Killer,5.12c,V8,0.5853445361517751
Sinks Canyon,Pocket Calculator,5.12b,V8,0.03440583730556236
Rifle,Quickdraws,5.12c,,0.820009991074597
Rifle,Thieves,5.13a,V10,2.7532899454931448
Red Rocks,The Trophy,5.12c,V8,0.5245059775515499
Rifle,Black Ceasar,5.12c,,0.5715343835020452
Mt Potasi,The Natural,5.12d,V9,2.16066361653736
Mt Charleston,Screaming Target,5.13c,V12,2.442031869706642
Mt Charleston,Infectious Groove,5.13b,V11,1.8818732876816586
Mt Charleston,Equalizer,5.13a,V10,2.1607276534946096
Red Rocks,Glitch,5.12c,V5,1.249698545386139
VRG,Mentor,5.12b,V8,0.3438261228803626
VRG,Bowser,5.12c,V9,1.2783181783292157
Bishop,Mr. Happy,5.11a,V5,-0.3729182392119947
Red Rocks,Mr. Moran,5.12a,V7,0.59859869485413
Bishop,Strength in Numbers,5.11a,V5,0.16753069675183416
Bishop,Gleaner,5.11d,V6,1.1941052640945073
Bishop,High Plains Drifter,5.12a,V7,0.7131184172359983
VRG,Dirt Cowboy,5.12c,,1.7573433899380917
VRG,Fall of Man,5.13b,V11,2.3729181335762473
Bishop,Red Rum,5.13a,V10,1.5510082931594642
Bishop,Cave Problem,5.10c,V4,-0.16783142934176534
Clear Creek Canyon,The Great Escape,5.12c,V8,-0.3153963703108412
Rifle,Promise,5.12c,,0.5556322033587126
Rifle,Pump-O-Rama,5.13a,V10,1.7777693589453938
Rifle,Debaser,5.12d,V9,1.7148511790359016
Rifle,Slaggissimo,5.12d,V9,1.250737432783309
Rifle,The Kiss that Stings,5.13a,V10,1.8327207833529666
Rifle,Le Specimen,5.12d,V9,1.7374887502675018
Rifle,Cryptic Egyptian,5.13c,V12,2.1855521215056792
Rifle,Matador Pants,5.13a,V10,1.3240172476835343
Rifle,Philibuster,5.13a,V10,2.241068226525473
Clear Creek Canyon,Sonic Youth,5.13a,V10,1.3814937293189975
Clear Creek Canyon,Anarchitect,5.12d,V9,2.2922932774937563
Shelf Road,Head Cheese,5.12d,V9,1.4341247765818208
Bishop,Change of Heart,5.12a,V7,1.1987056213484826
Bishop,Vulcan Traverse,5.11a,V5,0.14631321190744612
Bishop,East Easy Rider,5.11a,V5,0.5269226057997761
Bishop,Grotesque Old Woman,5.12a,V7,0.704169819013143
Bishop,Every Color You Are,5.11d,V6,0.5072547906117051
Bishop,Atari,5.11d,V6,1.6344656409614855
Bishop,Rib Direct,5.12a,V7,0.211810344555392
Bishop,Pope's Prow,5.11d,V6,2.2730009463140273
Bishop,Hot Pants,5.11a,V5,1.3368417275327882
satellites,Turning Point,5.12c,V8,1.4666653789244728
Joe's Valley,Big Boy,5.12a,V7,1.0861192131259836
Joe's Valley,SPAM,5.12a,V7,0.15619946219856154
Rifle,The Beast With Two Backs,5.13a,V10,2.578484550223741
Bishop,Moonraker,5.12d,V9,1.8559488106862139
Bishop,Beefcake,5.13a,V10,2.870322595192485
Bishop,Center Direct,5.13a,V10,3.2236980814350833
Bishop,Disco Diva,5.12c,V8,2.4974359589372828
Bishop,Morning Dove White,5.12b,V8,1.0550377468233643
Bishop,Stained Glass,5.13a,V10,3.358997349041589
Bishop,Acid Wash,5.13a,V10,2.4340340417628834
Joe's Valley,Resident evil,5.13a,V10,2.0415150728083
VRG,Joe Six Pack,5.13a,V10,1.8666780876053854
Red Rocks,Nothing Shocking,5.13a,V10,2.743716305428113
American Fork,Burning,5.13b,V11,2.008126621739039
Mt Charleston,Urban Decay,5.12c,V9,0.8805210141499047
